properties__number,properties__name,properties__address,properties__lat,properties__lng,properties__availability,properties__code_insee,properties__bike_stands
6041,Cité Internationale - Tête d'Or Nord,Allée Achille Lignon,45.78461105,4.859639147,Vert,69386,22
10011,Gratte-Ciel,"174, Cours Emile Zola",45.76922744,4.880462252,Vert,69266,16
15002,Saint Priest - Cité Berliet,Place Steven Spielberg,45.70598197,4.900984851,Vert,69290,20
10005,11 novembre,Boulevard du 11 Novembre 1918,45.77970161,4.859991161,Vert,69266,35
8042,Francis de Pressenssé,"74, Rue Paul Cazeneuve",45.73142727,4.860037966,Vert,69388,22
10075,Gabriel Péri,Rue Gabriel Péri,45.77229959,4.865699268,Vert,69266,12
4006,Philippe de Lassalle,Rue Philippe de Lassalle,45.77348011,4.821307646,Vert,69384,23
10016,Place de la paix,"10, place de la Paix",45.75209973,4.914643009,Vert,69266,17
5040,Place Crépu,"127, Quai Fulchiron",45.75784168,4.826105452,Bleu,69385,20
3086,Feuillat / Lacassagne,"115, Avenue Lacassagne",45.74956271,4.875933403,Vert,69383,16
3050,Friche RVI,"5, Rue Félix Rollet",45.74832071,4.87592396,Vert,69383,20
8056,Delore / Audibert & Lavirotte,"Face 69, Rue Audibert & Lavirotte",45.73579523,4.856812819,Vert,69388,18
2036,Place Antonin Gourju,Place Antonin Gourju,45.75948635,4.830169955,Vert,69382,30
6002,Porte des Enfants du Rhône,Place Général Leclerc,45.7774933,4.844870726,Vert,69386,40
6032,Préfecture / Sarrail,"14, Quai Général Sarrail",45.76485827,4.841565471,Vert,69386,20
8055,Saint-Romain / Berliet,"57, Rue Marius Berliet\r\n57, Rue Marius Berliet",45.74225688,4.860372089,Vert,69388,20
10024,Maisons Neuves,Place des Maisons Neuves,45.75595103,4.87734643,Vert,69266,23
4004,Hénon,"60, Boulevard des Canuts",45.77975537,4.827648401,Vert,69384,22
7003,Gambetta / Garibaldi,"100, Cours Gambetta",45.75179014,4.852607966,Vert,69387,40
6042,Cité Internationale - Résidence hôtelière,Allée Achille Lignon,45.78481816,4.856511614,Vert,69386,28
8035,Sans Souci,"18, Rue Edouard Rochet",45.74724873,4.865285783,Vert,69388,20
5009,Place Ennemond Fousseret,Quai Romain Rolland angle Quai de Bondy,45.76468151,4.828983327,Vert,69385,16
30002,Rillieux - Loup Pendu,"196, Avenue Pierre Mendes France",45.81597011,4.887043451,Vert,69286,18
3011,Part-Dieu / Cuirassiers,Rue des Cuirassiers,45.75989765,4.857573031,Orange,69383,59
10092,Montgolfier / Château Gaillard,135 rue Château Gaillard,45.77155433,4.890374214,Vert,69266,17
7017,Beauvoir / Marot,"26, Rue Simone de Beauvoir",45.73675725,4.834138445,Vert,69387,20
8038,Albert Thomas / Villon,"64, Cours Albert Thomas",45.74671633,4.867428645,Vert,69388,20
18001,Pierre Bénite - Europe,"22, Rue Voltaire",45.70325586,4.821200376,Vert,69152,15
2027,Perrache Est,48 Cours Suchet,45.74610307,4.825605394,Vert,69382,20
6017,Lafayette / Inkermann,Face au 92b Rue d'Inkermann,45.76393602,4.865913254,Vert,69386,30
3090,Vinatier,"95, Boulevard Pinel",45.74191155,4.893959114,Orange,69383,20
8008,Beauvisage / Préssensé,"159, Rue Rrofesseur Beauvisage",45.72787186,4.863442059,Vert,69388,17
5006,Quai Romain Rolland,Quai Romain Rolland,45.76203708,4.828889682,Vert,69385,17
10014,Laurent Bonnevay / Astroballe,Rue du Sytral,45.76512406,4.90981822,Vert,69266,28
7056,Place Raspail,", Rrue Cavenne",45.75576871,4.84073279,Vert,69387,22
6020,Musée Guimet,"28, Boulevard des Belges",45.77450487,4.848477102,Vert,69386,15
10112,Place de la Reconnaissance,"109, Route de Genas",45.75444024,4.885348919,Vert,69266,32
4024,Lyon Métropole,"Face au 84, Quai Joseph Gillet",45.78817002,4.818560287,Vert,69384,25
15001,Saint Priest - Parc Technologique,"312, Cours du 3ème Millénaire",45.71441038,4.931014316,Orange,69290,20
8041,Etats-Unis / Viviani,"170, Boulevard des Etats-Unis",45.72470317,4.870765977,Vert,69388,20
9006,Théâtre Nouvelle Génération,"Face 2, Rue Tissot",45.77729554,4.803311745,Vert,69389,16
10032,Primat / Decorps,Angle rue Emile Decorps / Rue Max Barel,45.75715601,4.899965219,Orange,69266,13
8021,Paul Santy,"101, Avenue Paul Santy",45.72851815,4.877305934,Gris,69388,16
2011,Sala / Rue du Plat,25 Rue du Plat,45.75680849,4.82837438,Vert,69382,14
16004,Vénissieux - Parilly,Place Jules Grandclément,45.71971196,4.888535366,Vert,69259,25
10088,4 août 1789 / Pressensé,"243, Cours Emile Zola",45.76605874,4.898703143,Vert,69266,19
7020,Parc de Gerland,"24, Allée Pierre de Coubertin",45.72434836,4.826821431,Vert,69387,26
10031,Croix Luizet,"Face 158, Avenue Roger Salengro",45.78064416,4.883497017,Vert,69266,22
1002,Opéra,"Face 18, Rue Joseph Serlin",45.76761095,4.836657005,Vert,69381,41
2042,Joffre / Vaubecour,"43, Rue Vaubecour",45.75184824,4.824734489,Vert,69382,20
9032,Place du Port Mouton,Place du Port Mouton,45.77382012,4.809560303,Vert,69389,18
11002,Caluire - Saint-Clair,48 cours Aristide Briand,45.78547076,4.847842122,Vert,69034,20
3003,Part-Dieu / Deruelle,Boulevard Eugène Deruelle,45.76297901,4.855006623,Orange,69383,30
8001,Université Lyon III,"5, Rue du Professeur Rollet",45.74853957,4.861541779,Vert,69388,36
3051,Place Henri,Place Henri,45.74818691,4.880593958,Vert,69383,13
1001,Terreaux / Terme,"33, Rue Terme",45.76773469,4.832135062,Vert,69381,16
10103,Doua / Rue des sports,Rue des Arts,45.78448519,4.877404233,Orange,69266,30
10080,Vaillant / Perroncel,"45, Rue Edouard Vaillant",45.77539881,4.880263091,Vert,69266,17
10063,Perrin / Jean Jaurès,"9, Place Jules Grandclément",45.75839182,4.885609434,Orange,69266,34
10045,Anatole France / Alsace,24 Rue Anatole France,45.76690539,4.870161396,Vert,69266,20
3085,Sacré Coeur,"68, Rue Antoine Charial",45.75786183,4.868350532,Vert,69383,16
7011,Berthelot / Garibaldi,"111, Avenue Berthelot",45.74371181,4.847368883,Bleu,69387,15
2008,Place Antonin Poncet,"1, Place Antonin Poncet",45.75676232,4.833927397,Vert,69382,40
4014,Philippe de Lassalle / Pillement,"Face 38, Rue Philippe de Lassalle",45.77742065,4.820538471,Vert,69384,13
7024,Bancel / Chevreul,Rue Bancel,45.74852029,4.840524572,Bleu,69387,21
8029,Etats-Unis / Lévigne,"78, Boulevard des Etats-Unis",45.73221801,4.865141537,Vert,69388,20
16005,Vénissieux - Gare,122b Avenue Jules Guesde,45.70853397,4.887024812,Vert,69259,25
10019,4 Août / Racine,"37, Rue du 4 Août 1789",45.76448294,4.877920626,Vert,69266,30
10025,Totem,"40, Cours Tolstoï",45.7636407,4.873141088,Vert,69266,16
8034,Berthelot / Villon,"Face 98, Rue Villon",45.73830234,4.862732783,Vert,69388,13
3084,Desaix,"128, Rue Paul Bert",45.75726126,4.855200856,Vert,69383,28
5026,Rue de la Baleine,"13, Quai romain Rolland",45.76338371,4.829011477,Vert,69385,14
11005,Caluire - Passerelle de la Paix,Chemin Wette Fays,45.78795164,4.853054333,Vert,69034,25
2025,Mercière / Ferrandière,"1, Rue Ferrandière",45.7620553,4.833205956,Bleu,69382,10
12003,Vaulx - Bibliothèque,Rue Joseph Blein,45.75706976,4.927321611,Vert,69256,15
25001,Saint Cyr,"3, Rue de St-Cyr",45.79979143,4.819601869,Vert,69191,12
