comune,comuneLabel,cordinate,comuneLabelCapital
http://www.wikidata.org/entity/Q13596,Vaulx-en-Velin,Point(4.925 45.786944444),VAULX-EN-VELIN
http://www.wikidata.org/entity/Q13598,Vénissieux,Point(4.885833333 45.696944444),VéNISSIEUX
http://www.wikidata.org/entity/Q13600,Feyzin,Point(4.858888888 45.672777777),FEYZIN
http://www.wikidata.org/entity/Q13636,Les Abymes,Point(-61.504722222 16.270555555),LES ABYMES
http://www.wikidata.org/entity/Q13648,Le Tampon,Point(55.515277777 -21.278055555),LE TAMPON
http://www.wikidata.org/entity/Q13838,Pagny-la-Ville,Point(5.174444444 47.062777777),PAGNY-LA-VILLE
http://www.wikidata.org/entity/Q14003,Eecke,Point(2.596111111 50.778611111),EECKE
http://www.wikidata.org/entity/Q14007,Godewaersvelde,Point(2.643333333 50.793888888),GODEWAERSVELDE
http://www.wikidata.org/entity/Q14011,Houtkerque,Point(2.595833333 50.877222222),HOUTKERQUE
http://www.wikidata.org/entity/Q14012,Oudezeele,Point(2.510555555 50.838333333),OUDEZEELE
http://www.wikidata.org/entity/Q14964,Saint-Julien-sur-Veyle,Point(4.954166666 46.202222222),SAINT-JULIEN-SUR-VEYLE
http://www.wikidata.org/entity/Q16028,Allerey,Point(4.438333333 47.189444444),ALLEREY
http://www.wikidata.org/entity/Q16030,Antigny-la-Ville,Point(4.558611111 47.101388888),ANTIGNY-LA-VILLE
http://www.wikidata.org/entity/Q16031,Arnay-le-Duc,Point(4.486111111 47.131666666),ARNAY-LE-DUC
http://www.wikidata.org/entity/Q16034,Champignolles,Point(4.566388888 47.055277777),CHAMPIGNOLLES
http://www.wikidata.org/entity/Q16035,Clomot,Point(4.485833333 47.190833333),CLOMOT
http://www.wikidata.org/entity/Q16036,Culètre,Point(4.576111111 47.147222222),CULèTRE
http://www.wikidata.org/entity/Q16037,Cussy-le-Châtel,Point(4.585555555 47.165),CUSSY-LE-CHâTEL
http://www.wikidata.org/entity/Q16038,Le Fête,Point(4.509166666 47.183333333),LE FêTE
http://www.wikidata.org/entity/Q16039,Foissy,Point(4.562222222 47.122222222),FOISSY
http://www.wikidata.org/entity/Q16040,Jouey,Point(4.447222222 47.153333333),JOUEY
http://www.wikidata.org/entity/Q16088,Lacanche,Point(4.559444444 47.075),LACANCHE
http://www.wikidata.org/entity/Q16089,Longecourt-lès-Culêtre,Point(4.552777777 47.158888888),LONGECOURT-LèS-CULêTRE
http://www.wikidata.org/entity/Q16090,Magnien,Point(4.438055555 47.101666666),MAGNIEN
http://www.wikidata.org/entity/Q16091,Maligny,Point(4.509166666 47.085277777),MALIGNY
http://www.wikidata.org/entity/Q16092,Mimeure,Point(4.496666666 47.150555555),MIMEURE
http://www.wikidata.org/entity/Q16093,Musigny,Point(4.519444444 47.162777777),MUSIGNY
http://www.wikidata.org/entity/Q16094,Saint-Pierre-en-Vaux,Point(4.526666666 47.056666666),SAINT-PIERRE-EN-VAUX
http://www.wikidata.org/entity/Q16095,Saint-Prix-lès-Arnay,Point(4.506388888 47.114166666),SAINT-PRIX-LèS-ARNAY
http://www.wikidata.org/entity/Q16097,Viévy,Point(4.452222222 47.0575),VIéVY
http://www.wikidata.org/entity/Q16098,Aloxe-Corton,Point(4.859444444 47.065555555),ALOXE-CORTON
http://www.wikidata.org/entity/Q16121,Beaune,Point(4.838888888 47.024166666),BEAUNE
http://www.wikidata.org/entity/Q16122,Auxey-Duresses,Point(4.748333333 46.986666666),AUXEY-DURESSES
http://www.wikidata.org/entity/Q16127,Bouze-lès-Beaune,Point(4.771388888 47.051666666),BOUZE-LèS-BEAUNE
http://www.wikidata.org/entity/Q16128,Bouilland,Point(4.776388888 47.132222222),BOUILLAND
http://www.wikidata.org/entity/Q16129,Échevronne,Point(4.850833333 47.105555555),ÉCHEVRONNE
http://www.wikidata.org/entity/Q16131,Mavilly-Mandelot,Point(4.737777777 47.048888888),MAVILLY-MANDELOT
http://www.wikidata.org/entity/Q16132,Meloisey,Point(4.735 47.033055555),MELOISEY
http://www.wikidata.org/entity/Q16133,Monthelie,Point(4.766666666 46.9925),MONTHELIE
http://www.wikidata.org/entity/Q16135,Nantoux,Point(4.760555555 47.033055555),NANTOUX
http://www.wikidata.org/entity/Q16136,Pernand-Vergelesses,Point(4.851111111 47.08),PERNAND-VERGELESSES
http://www.wikidata.org/entity/Q16140,Meursault,Point(4.770555555 46.978055555),MEURSAULT
http://www.wikidata.org/entity/Q16155,Pommard,Point(4.795 47.009166666),POMMARD
http://www.wikidata.org/entity/Q16156,Savigny-lès-Beaune,Point(4.818333333 47.063611111),SAVIGNY-LèS-BEAUNE
http://www.wikidata.org/entity/Q16157,Volnay,Point(4.781388888 47.001388888),VOLNAY
http://www.wikidata.org/entity/Q16169,Bligny-lès-Beaune,Point(4.825 46.986944444),BLIGNY-LèS-BEAUNE
http://www.wikidata.org/entity/Q16170,Chevigny-en-Valière,Point(4.975277777 46.966944444),CHEVIGNY-EN-VALIèRE
http://www.wikidata.org/entity/Q16171,Chorey-les-Beaune,Point(4.8675 47.048055555),CHOREY-LES-BEAUNE
http://www.wikidata.org/entity/Q16173,Combertault,Point(4.898888888 46.992777777),COMBERTAULT
http://www.wikidata.org/entity/Q16174,Corcelles-les-Arts,Point(4.794444444 46.9525),CORCELLES-LES-ARTS
http://www.wikidata.org/entity/Q16175,Ébaty,Point(4.784444444 46.929166666),ÉBATY
http://www.wikidata.org/entity/Q16176,Ladoix-Serrigny,Point(4.886666666 47.066111111),LADOIX-SERRIGNY
http://www.wikidata.org/entity/Q16177,Levernois,Point(4.873055555 46.995555555),LEVERNOIS
http://www.wikidata.org/entity/Q16178,Marigny-lès-Reullée,Point(4.963888888 46.9975),MARIGNY-LèS-REULLéE
http://www.wikidata.org/entity/Q16179,Merceuil,Point(4.841666666 46.949166666),MERCEUIL
http://www.wikidata.org/entity/Q16190,Meursanges,Point(4.945277777 46.991111111),MEURSANGES
http://www.wikidata.org/entity/Q16191,Montagny-lès-Beaune,Point(4.849444444 46.991111111),MONTAGNY-LèS-BEAUNE
